p,p2,distance,pos_p_x,pos_p_y,pos_p_z,pos_p2_x,pos_p2_y,pos_p2_z
21491,21493,0.0000283981,-0.4695618190428346,0.8881686837004638,-0.8992233972324344,-0.46957530966184075,0.8881488843993444,-0.8992495901636519
21377,21379,0.0000286248,-0.4688268396509079,0.889371111026147,-0.8977940721488158,-0.46884045849674244,0.8893512267060283,-0.8978205187158003
21317,21319,0.0000287453,-0.4684370236681776,0.8900059356062292,-0.8970358926287483,-0.4684507106767301,0.8899860062870749,-0.8970624740303947
21191,21193,0.0000290011,-0.4676116315545003,0.8913435108468417,-0.8954303083889625,-0.4676254632435479,0.8913234864589582,-0.8954571760036343
21059,21061,0.0000292730,-0.4667369620549911,0.8927512770670394,-0.893728541148458,-0.4667509475875389,0.8927311522467446,-0.8937557131268563
21017,21019,0.0000293604,-0.4664564928355016,0.893200604916333,-0.8931827865902506,-0.4664705278138107,0.8931804479592814,-0.8932100563972731
21011,21013,0.0000293729,-0.4664163398694304,0.8932648500613042,-0.8931046516603405,-0.46643038193113234,0.8932446885061199,-0.8931319354820924
20981,20983,0.0000294356,-0.4662152517955801,0.8935862840445256,-0.8927133375733389,-0.4662293293484884,0.8935660994717413,-0.8927406916163839
20897,20899,0.0000296124,-0.46564932552820626,0.8944881500287604,-0.8916119614922604,-0.4656635031188548,0.894467900767101,-0.8916395134723902
20807,20809,0.0000298037,-0.4650382286998893,0.89545747366378,-0.890422524185236,-0.46505251456875507,0.8954371546986261,-0.8904502904187233
20771,20773,0.0000298808,-0.4647924034509801,0.8958460868443452,-0.8899440062127961,-0.4648067329518208,0.8958257398830267,-0.8899718587855309
20747,20749,0.0000299324,-0.4646280771666632,0.8961054436572907,-0.8896241182143385,-0.46464243585810994,0.8960850779952797,-0.8896520285507039
20717,20719,0.0000299971,-0.46442216939635317,0.8964299567514924,-0.8892232691569316,-0.4644365646920554,0.896409567672362,-0.8892512519285874
20639,20641,0.0000301663,-0.4638841959555403,0.897275343798,-0.8881758913150273,-0.46389868702976944,0.8972548936190755,-0.8882040636268402
20549,20551,0.0000303634,-0.46325872978110666,0.8982537686471566,-0.8869580245634398,-0.46327333247092295,0.898233247580005,-0.8869864177674915
20507,20509,0.0000304561,-0.4629650975252321,0.8987114633586575,-0.8863862280019996,-0.4629797527109185,0.8986909090670929,-0.8864147251019561
20477,20479,0.0000305226,-0.46275467471634585,0.8990388166734131,-0.8859764455241909,-0.46276936755966486,0.8990182385940754,-0.886005017154978
20441,20443,0.0000306028,-0.46250141004065026,0.8994321130042103,-0.8854832080469386,-0.46251614825079446,0.8994115063177133,-0.8855118694681918
20357,20359,0.0000307911,-0.461907226882834,0.9003518141551975,-0.884325924680874,-0.46192207170877536,0.9003311404552852,-0.8843547971250011
20231,20233,0.0000310770,-0.4610073828679226,0.9017366663945153,-0.8825730421611797,-0.4610223896389549,0.9017158914785853,-0.8826022351614018
20147,20149,0.0000312700,-0.46040170566591687,0.9026634549142686,-0.8813930130161273,-0.46041682176960713,0.9026426120534324,-0.8814224224448443
20021,20023,0.0000315632,-0.45948439889025094,0.9040590027357818,-0.8796055712250168,-0.4594996810848004,0.9040380572499863,-0.8796353094588981
19991,19993,0.0000316337,-0.45926442236409454,0.9043922293244361,-0.8791768822562135,-0.4592797444789661,0.9043712592781806,-0.879206699523007
19961,19963,0.0000317044,-0.45904383732665993,0.904725823875686,-0.8787469889035863,-0.459059199507518,0.9047048292202915,-0.8787768854931526
19889,19891,0.0000318752,-0.4585119370282531,0.9055279558898758,-0.8777103041728787,-0.4585273959661216,0.9055069019732532,-0.8777403923283938
19841,19843,0.0000319899,-0.4581553669121313,0.9060638944272146,-0.8770152819086627,-0.45817089082810164,0.9060428008461809,-0.8770454987169501
19751,19753,0.0000322067,-0.45748251339735757,0.9070713421709654,-0.8757036343336827,-0.4574981601800399,0.9070501738789352,-0.8757340944212271
19697,19699,0.0000323379,-0.45707609742593996,0.9076774213753065,-0.8749112935862294,-0.45709181858217734,0.9076562080426027,-0.8749419009419568
19541,19543,0.0000327219,-0.45589047287416573,0.9094351411078108,-0.8725994769206871,-0.4559064116871117,0.909413796748664,-0.8726305152900957
19469,19471,0.0000329017,-0.4553374136120215,0.9102498344566289,-0.8715209076630519,-0.45535345430719454,0.9102284291649512,-0.8715521477986669
19427,19429,0.0000330072,-0.4550130707354278,0.9107260801928393,-0.8708883272303443,-0.45502917128395387,0.9107046392224415,-0.8709196859029822
